checkpoint,age_overall_accuracy,age_ambig_accuracy,age_disambig_accuracy,nationality_overall_accuracy,nationality_ambig_accuracy,nationality_disambig_accuracy,religion_overall_accuracy,religion_ambig_accuracy,religion_disambig_accuracy
35625,83.58695652173913,77.33695652173913,89.83695652173913,0.0,0.0,0.0,0.0,0.0,0.0
35625,0.0,0.0,0.0,84.48051948051948,81.4935064935065,87.46753246753246,0.0,0.0,0.0
35625,0.0,0.0,0.0,0.0,0.0,0.0,88.91666666666667,86.66666666666667,91.16666666666666
32067,80.24456521739131,76.57608695652173,83.91304347826087,0.0,0.0,0.0,0.0,0.0,0.0
32067,0.0,0.0,0.0,80.71428571428572,81.1038961038961,80.32467532467533,0.0,0.0,0.0
32067,0.0,0.0,0.0,0.0,0.0,0.0,88.58333333333334,86.66666666666667,90.5
28504,83.28804347826086,78.31521739130434,88.26086956521739,0.0,0.0,0.0,0.0,0.0,0.0
28504,0.0,0.0,0.0,83.83116883116884,84.15584415584415,83.50649350649351,0.0,0.0,0.0
28504,0.0,0.0,0.0,0.0,0.0,0.0,88.0,86.83333333333333,89.16666666666667
24941,86.6304347826087,81.30434782608695,91.95652173913044,0.0,0.0,0.0,0.0,0.0,0.0
24941,0.0,0.0,0.0,89.35064935064935,84.67532467532467,94.02597402597402,0.0,0.0,0.0
24941,0.0,0.0,0.0,0.0,0.0,0.0,88.83333333333333,89.5,88.16666666666667
21378,83.64130434782608,72.71739130434783,94.56521739130434,0.0,0.0,0.0,0.0,0.0,0.0
21378,0.0,0.0,0.0,85.0,79.54545454545455,90.45454545454545,0.0,0.0,0.0
21378,0.0,0.0,0.0,0.0,0.0,0.0,90.58333333333334,89.16666666666667,92.0
17815,87.60869565217392,84.40217391304347,90.81521739130434,0.0,0.0,0.0,0.0,0.0,0.0
17815,0.0,0.0,0.0,86.65584415584415,83.44155844155844,89.87012987012987,0.0,0.0,0.0
17815,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.66666666666666,89.33333333333333
14252,86.71195652173913,81.08695652173913,92.33695652173914,0.0,0.0,0.0,0.0,0.0,0.0
14252,0.0,0.0,0.0,88.86363636363637,85.25974025974025,92.46753246753246,0.0,0.0,0.0
14252,0.0,0.0,0.0,0.0,0.0,0.0,90.25,90.66666666666666,89.83333333333333
10689,87.66304347826087,81.73913043478261,93.58695652173913,0.0,0.0,0.0,0.0,0.0,0.0
10689,0.0,0.0,0.0,87.14285714285714,83.50649350649351,90.77922077922078,0.0,0.0,0.0
10689,0.0,0.0,0.0,0.0,0.0,0.0,93.16666666666666,95.5,90.83333333333333
7126,81.19565217391305,83.20652173913044,79.18478260869564,0.0,0.0,0.0,0.0,0.0,0.0
7126,0.0,0.0,0.0,84.02597402597402,88.05194805194805,80.0,0.0,0.0,0.0
7126,0.0,0.0,0.0,0.0,0.0,0.0,90.25,95.16666666666667,85.33333333333334
3563,63.66847826086956,54.402173913043484,72.93478260869564,0.0,0.0,0.0,0.0,0.0,0.0
3563,0.0,0.0,0.0,69.77272727272728,57.27272727272727,82.27272727272728,0.0,0.0,0.0
3563,0.0,0.0,0.0,0.0,0.0,0.0,72.41666666666666,65.33333333333333,79.5
