checkpoint,age_static_total_examples,age_static_correct,age_static_accuracy,age_static_needs_llm,age_llm_total_evaluated,age_llm_correct,age_llm_accuracy,age_combined_total_examples,age_combined_correct,age_combined_accuracy,nationality_static_total_examples,nationality_static_correct,nationality_static_accuracy,nationality_static_needs_llm,nationality_llm_total_evaluated,nationality_llm_correct,nationality_llm_accuracy,nationality_combined_total_examples,nationality_combined_correct,nationality_combined_accuracy,religion_static_total_examples,religion_static_correct,religion_static_accuracy,religion_static_needs_llm,religion_llm_total_evaluated,religion_llm_correct,religion_llm_accuracy,religion_combined_total_examples,religion_combined_correct,religion_combined_accuracy
3563,3680,1980,53.80434782608695,1700,1700,363,21.352941176470587,3680,2343,63.66847826086956,3080,1874,60.84415584415584,1206,1206,275,22.802653399668323,3080,2149,69.77272727272728,1200,712,59.333333333333336,488,488,157,32.17213114754098,1200,869,72.41666666666666
7126,3680,2460,66.84782608695652,1220,1220,528,43.278688524590166,3680,2988,81.19565217391305,3080,2103,68.27922077922078,977,977,485,49.6417604912999,3080,2588,84.02597402597402,1200,868,72.33333333333334,332,332,215,64.7590361445783,1200,1083,90.25
10689,3680,2711,73.66847826086956,969,969,515,53.14757481940144,3680,3226,87.66304347826087,3080,2190,71.1038961038961,890,890,494,55.50561797752809,3080,2684,87.14285714285714,1200,894,74.5,306,306,224,73.20261437908496,1200,1118,93.16666666666666
14252,3680,2773,75.35326086956522,907,907,418,46.08599779492833,3680,3191,86.71195652173913,3080,2321,75.35714285714286,759,759,416,54.80895915678524,3080,2737,88.86363636363637,1200,890,74.16666666666667,310,310,193,62.25806451612903,1200,1083,90.25
17815,3680,2728,74.1304347826087,952,952,496,52.10084033613446,3680,3224,87.60869565217392,3080,2254,73.18181818181819,826,826,415,50.24213075060533,3080,2669,86.65584415584415,1200,849,70.75,351,351,231,65.8119658119658,1200,1080,90.0
21378,3680,2642,71.79347826086956,1038,1038,436,42.00385356454721,3680,3078,83.64130434782608,3080,2218,72.01298701298701,862,862,400,46.403712296983755,3080,2618,85.0,1200,870,72.5,330,330,217,65.75757575757576,1200,1087,90.58333333333334
24941,3680,2810,76.3586956521739,870,870,378,43.44827586206896,3680,3188,86.6304347826087,3080,2432,78.96103896103897,648,648,320,49.382716049382715,3080,2752,89.35064935064935,1200,877,73.08333333333333,323,323,189,58.51393188854489,1200,1066,88.83333333333333
28504,3680,2562,69.6195652173913,1118,1118,503,44.991055456171736,3680,3065,83.28804347826086,3080,2149,69.77272727272728,931,931,433,46.50912996777659,3080,2582,83.83116883116884,1200,833,69.41666666666667,367,367,223,60.76294277929155,1200,1056,88.0
32067,3680,2425,65.89673913043478,1255,1255,528,42.071713147410364,3680,2953,80.24456521739131,3080,2007,65.16233766233766,1073,1073,479,44.64119291705499,3080,2486,80.71428571428572,1200,819,68.25,381,381,244,64.04199475065617,1200,1063,88.58333333333334
35625,3680,2552,69.34782608695652,1128,1128,524,46.45390070921986,3680,3076,83.58695652173913,3080,2139,69.44805194805195,941,941,463,49.202975557917114,3080,2602,84.48051948051948,1200,838,69.83333333333334,362,362,229,63.25966850828729,1200,1067,88.91666666666667
