checkpoint,age_overall_accuracy,age_ambig_accuracy,age_disambig_accuracy,nationality_overall_accuracy,nationality_ambig_accuracy,nationality_disambig_accuracy,religion_overall_accuracy,religion_ambig_accuracy,religion_disambig_accuracy
3177,83.58695652173913,78.04347826086956,89.13043478260869,91.46103896103897,88.44155844155844,94.48051948051948,91.33333333333333,94.5,88.16666666666667
6354,82.98913043478261,72.44565217391305,93.53260869565217,91.85064935064935,85.25974025974025,98.44155844155844,92.75,95.33333333333334,90.16666666666666
9531,87.17391304347825,82.93478260869566,91.41304347826087,90.42207792207793,85.25974025974025,95.58441558441558,92.08333333333333,96.33333333333334,87.83333333333333
12708,83.55978260869566,75.10869565217392,92.01086956521739,90.45454545454545,83.76623376623377,97.14285714285714,90.41666666666667,88.83333333333333,92.0
15885,82.14673913043478,71.03260869565217,93.26086956521739,89.48051948051948,81.68831168831169,97.27272727272728,91.75,91.0,92.5
19062,,,,92.14285714285714,87.20779220779221,97.07792207792207,90.5,90.16666666666666,90.83333333333333
22239,84.72826086956522,77.39130434782608,92.06521739130434,91.0064935064935,85.0,97.01298701298701,92.66666666666666,90.83333333333333,94.5
25416,84.32065217391305,77.17391304347827,91.46739130434783,90.87662337662337,84.22077922077922,97.53246753246754,90.66666666666666,90.33333333333333,91.0
28593,82.6086956521739,72.44565217391305,92.77173913043478,88.08441558441558,79.35064935064935,96.81818181818181,90.91666666666667,86.66666666666667,95.16666666666667
31761,84.53804347826087,75.81521739130434,93.26086956521739,89.51298701298701,82.46753246753246,96.55844155844156,90.33333333333333,90.16666666666666,90.5
3563,63.66847826086956,54.402173913043484,72.93478260869564,69.77272727272728,57.27272727272727,82.27272727272728,72.41666666666666,65.33333333333333,79.5
7126,81.19565217391305,83.20652173913044,79.18478260869564,84.02597402597402,88.05194805194805,80.0,90.25,95.16666666666667,85.33333333333334
10689,87.66304347826087,81.73913043478261,93.58695652173913,87.14285714285714,83.50649350649351,90.77922077922078,93.16666666666666,95.5,90.83333333333333
14252,86.71195652173913,81.08695652173913,92.33695652173914,88.86363636363637,85.25974025974025,92.46753246753246,90.25,90.66666666666666,89.83333333333333
17815,87.60869565217392,84.40217391304347,90.81521739130434,86.65584415584415,83.44155844155844,89.87012987012987,90.0,90.66666666666666,89.33333333333333
21378,83.64130434782608,72.71739130434783,94.56521739130434,85.0,79.54545454545455,90.45454545454545,90.58333333333334,89.16666666666667,92.0
24941,86.6304347826087,81.30434782608695,91.95652173913044,89.35064935064935,84.67532467532467,94.02597402597402,88.83333333333333,89.5,88.16666666666667
28504,83.28804347826086,78.31521739130434,88.26086956521739,83.83116883116884,84.15584415584415,83.50649350649351,88.0,86.83333333333333,89.16666666666667
32067,80.24456521739131,76.57608695652173,83.91304347826087,80.71428571428572,81.1038961038961,80.32467532467533,88.58333333333334,86.66666666666667,90.5
35625,83.58695652173913,77.33695652173913,89.83695652173913,84.48051948051948,81.4935064935065,87.46753246753246,88.91666666666667,86.66666666666667,91.16666666666666
356,14.347826086956522,13.695652173913043,15.0,15.909090909090908,15.519480519480519,16.2987012987013,13.416666666666666,11.166666666666666,15.666666666666668
712,6.576086956521738,1.7391304347826086,11.41304347826087,3.7337662337662336,1.6883116883116882,5.779220779220779,7.083333333333333,1.6666666666666667,12.5
1068,9.891304347826086,1.25,18.532608695652176,9.35064935064935,1.753246753246753,16.948051948051948,9.333333333333334,0.8333333333333334,17.833333333333336
1424,7.690217391304348,0.21739130434782608,15.163043478260871,8.214285714285714,1.948051948051948,14.48051948051948,8.583333333333334,1.3333333333333335,15.833333333333332
1780,6.820652173913043,0.5978260869565217,13.043478260869565,5.422077922077921,1.5584415584415585,9.285714285714286,8.5,1.3333333333333335,15.666666666666668
2136,6.059782608695652,0.32608695652173914,11.793478260869565,5.422077922077921,1.6883116883116882,9.155844155844155,7.666666666666666,1.6666666666666667,13.666666666666666
2492,8.097826086956522,0.9782608695652175,15.217391304347828,6.6558441558441555,1.6233766233766231,11.688311688311687,10.583333333333334,1.6666666666666667,19.5
2848,7.146739130434783,0.5978260869565217,13.695652173913043,5.5519480519480515,1.4935064935064934,9.61038961038961,8.833333333333334,1.8333333333333333,15.833333333333332
3204,7.092391304347827,0.2717391304347826,13.91304347826087,5.649350649350649,1.753246753246753,9.545454545454547,9.583333333333334,1.6666666666666667,17.5
3558,7.690217391304348,0.32608695652173914,15.054347826086955,5.974025974025974,1.4285714285714286,10.519480519480519,9.333333333333334,1.8333333333333333,16.833333333333332
