checkpoint,age_static_total_examples,age_static_correct,age_static_accuracy,age_static_needs_llm,age_llm_total_evaluated,age_llm_correct,age_llm_accuracy,age_combined_total_examples,age_combined_correct,age_combined_accuracy,nationality_static_total_examples,nationality_static_correct,nationality_static_accuracy,nationality_static_needs_llm,nationality_llm_total_evaluated,nationality_llm_correct,nationality_llm_accuracy,nationality_combined_total_examples,nationality_combined_correct,nationality_combined_accuracy,religion_static_total_examples,religion_static_correct,religion_static_accuracy,religion_static_needs_llm,religion_llm_total_evaluated,religion_llm_correct,religion_llm_accuracy,religion_combined_total_examples,religion_combined_correct,religion_combined_accuracy
3177,3680.0,2754.0,74.83695652173913,926.0,926.0,322.0,34.77321814254859,3680.0,3076.0,83.58695652173913,3080,2477,80.42207792207792,603,603,340,56.38474295190713,3080,2817,91.46103896103897,1200,912,76.0,288,288,184,63.888888888888886,1200,1096,91.33333333333333
6354,3680.0,2686.0,72.98913043478261,994.0,994.0,368.0,37.02213279678068,3680.0,3054.0,82.98913043478261,3080,2466,80.06493506493506,614,614,363,59.12052117263844,3080,2829,91.85064935064935,1200,931,77.58333333333334,269,269,182,67.65799256505576,1200,1113,92.75
9531,3680.0,2787.0,75.73369565217392,893.0,893.0,421.0,47.1444568868981,3680.0,3208.0,87.17391304347825,3080,2422,78.63636363636364,658,658,363,55.16717325227963,3080,2785,90.42207792207793,1200,946,78.83333333333333,254,254,159,62.59842519685039,1200,1105,92.08333333333333
12708,3680.0,2764.0,75.10869565217392,916.0,916.0,311.0,33.95196506550218,3680.0,3075.0,83.55978260869566,3080,2448,79.48051948051949,632,632,338,53.48101265822785,3080,2786,90.45454545454545,1200,901,75.08333333333333,299,299,184,61.53846153846154,1200,1085,90.41666666666667
15885,3680.0,2597.0,70.57065217391305,1083.0,1083.0,426.0,39.335180055401665,3680.0,3023.0,82.14673913043478,3080,2351,76.33116883116882,729,729,405,55.55555555555556,3080,2756,89.48051948051948,1200,925,77.08333333333334,275,275,176,64.0,1200,1101,91.75
19062,,,,,,,,,,,3080,2506,81.36363636363636,574,574,332,57.8397212543554,3080,2838,92.14285714285714,1200,913,76.08333333333334,287,287,173,60.278745644599304,1200,1086,90.5
22239,3680.0,2710.0,73.6413043478261,970.0,970.0,408.0,42.06185567010309,3680.0,3118.0,84.72826086956522,3080,2400,77.92207792207793,680,680,403,59.26470588235294,3080,2803,91.0064935064935,1200,897,74.75,303,303,215,70.95709570957096,1200,1112,92.66666666666666
25416,3680.0,2699.0,73.34239130434783,981.0,981.0,404.0,41.18246687054026,3680.0,3103.0,84.32065217391305,3080,2450,79.54545454545455,630,630,349,55.3968253968254,3080,2799,90.87662337662337,1200,905,75.41666666666667,295,295,183,62.03389830508475,1200,1088,90.66666666666666
28593,3680.0,2574.0,69.94565217391305,1106.0,1106.0,466.0,42.13381555153707,3680.0,3040.0,82.6086956521739,3080,2231,72.43506493506493,849,849,482,56.77267373380448,3080,2713,88.08441558441558,1200,850,70.83333333333334,350,350,241,68.85714285714286,1200,1091,90.91666666666667
31761,3680.0,2662.0,72.33695652173913,1018.0,1018.0,449.0,44.10609037328094,3680.0,3111.0,84.53804347826087,3080,2338,75.9090909090909,742,742,419,56.46900269541779,3080,2757,89.51298701298701,1200,892,74.33333333333333,308,308,192,62.33766233766234,1200,1084,90.33333333333333
