checkpoint,age_overall_accuracy,age_ambig_accuracy,age_disambig_accuracy,nationality_overall_accuracy,nationality_ambig_accuracy,nationality_disambig_accuracy,religion_overall_accuracy,religion_ambig_accuracy,religion_disambig_accuracy
31761,84.53804347826087,75.81521739130434,93.26086956521739,0.0,0.0,0.0,0.0,0.0,0.0
31761,0.0,0.0,0.0,89.51298701298701,82.46753246753246,96.55844155844156,0.0,0.0,0.0
31761,0.0,0.0,0.0,0.0,0.0,0.0,90.33333333333333,90.16666666666666,90.5
28593,82.6086956521739,72.44565217391305,92.77173913043478,0.0,0.0,0.0,0.0,0.0,0.0
28593,0.0,0.0,0.0,88.08441558441558,79.35064935064935,96.81818181818181,0.0,0.0,0.0
28593,0.0,0.0,0.0,0.0,0.0,0.0,90.91666666666667,86.66666666666667,95.16666666666667
25416,84.32065217391305,77.17391304347827,91.46739130434783,0.0,0.0,0.0,0.0,0.0,0.0
25416,0.0,0.0,0.0,90.87662337662337,84.22077922077922,97.53246753246754,0.0,0.0,0.0
25416,0.0,0.0,0.0,0.0,0.0,0.0,90.66666666666666,90.33333333333333,91.0
22239,84.72826086956522,77.39130434782608,92.06521739130434,0.0,0.0,0.0,0.0,0.0,0.0
22239,0.0,0.0,0.0,91.0064935064935,85.0,97.01298701298701,0.0,0.0,0.0
22239,0.0,0.0,0.0,0.0,0.0,0.0,92.66666666666666,90.83333333333333,94.5
19062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19062,0.0,0.0,0.0,92.14285714285714,87.20779220779221,97.07792207792207,0.0,0.0,0.0
19062,0.0,0.0,0.0,0.0,0.0,0.0,90.5,90.16666666666666,90.83333333333333
15885,82.14673913043478,71.03260869565217,93.26086956521739,0.0,0.0,0.0,0.0,0.0,0.0
15885,0.0,0.0,0.0,89.48051948051948,81.68831168831169,97.27272727272728,0.0,0.0,0.0
15885,0.0,0.0,0.0,0.0,0.0,0.0,91.75,91.0,92.5
12708,83.55978260869566,75.10869565217392,92.01086956521739,0.0,0.0,0.0,0.0,0.0,0.0
12708,0.0,0.0,0.0,90.45454545454545,83.76623376623377,97.14285714285714,0.0,0.0,0.0
12708,0.0,0.0,0.0,0.0,0.0,0.0,90.41666666666667,88.83333333333333,92.0
9531,87.17391304347825,82.93478260869566,91.41304347826087,0.0,0.0,0.0,0.0,0.0,0.0
9531,0.0,0.0,0.0,90.42207792207793,85.25974025974025,95.58441558441558,0.0,0.0,0.0
9531,0.0,0.0,0.0,0.0,0.0,0.0,92.08333333333333,96.33333333333334,87.83333333333333
6354,82.98913043478261,72.44565217391305,93.53260869565217,0.0,0.0,0.0,0.0,0.0,0.0
6354,0.0,0.0,0.0,91.85064935064935,85.25974025974025,98.44155844155844,0.0,0.0,0.0
6354,0.0,0.0,0.0,0.0,0.0,0.0,92.75,95.33333333333334,90.16666666666666
3177,83.58695652173913,78.04347826086956,89.13043478260869,0.0,0.0,0.0,0.0,0.0,0.0
3177,0.0,0.0,0.0,91.46103896103897,88.44155844155844,94.48051948051948,0.0,0.0,0.0
3177,0.0,0.0,0.0,0.0,0.0,0.0,91.33333333333333,94.5,88.16666666666667
